cid,workbook,name,cover,content
WmrGj3bevlXmVkLi,ly5XdtUiOz8wa7xc,LTO手冲咖啡罐罐贴和咖啡信息卡,"{'name': '1152-318-4', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=S0NOXgRLagbpH5Cz'}",-建议手冲门店保存3个手冲吧台咖啡豆储存罐使用。  1个豆罐用于LTO咖啡豆，2个豆罐用于核心咖啡豆，请主推LTO咖啡豆。-门店尽量选择单一产区咖啡豆作为手冲咖啡冲煮搭配选择：哥伦比亚、危地马拉、苏门答腊等
h6fDEqgKVG8Vq8Yw,ly5XdtUiOz8wa7xc,手冲门店&Brew Bar吧台陈列效果图（仅供参考）,"{'name': '1152-318-5', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=l5z2W7wcBP7XttN2'}",-咖啡豆储存罐（SKU#11100570)-咖啡信息卡陈列架（SKU#11053575）-季节性特供咖啡豆陈列架-ORIGAMI展示架（建议陈列）手冲门店可以将ORIGAMI陈列背板放置在手冲吧台ORIGAMI背板如若破损，请联系POP供应商补货
W0lByjkliGeqMAZs,ly5XdtUiOz8wa7xc,季节性特供咖啡豆陈列展示架效果图,"{'name': '1152-318-2', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=bslFVaSrGmTZQsRe'}","手冲插页分常规版本和LTO版本，请一起陈列，若只有一个架子，请申请陈列架，陈列架在NGBOH 开放订购每季画面随大货物料主配,补货流程与其他POP相同NGBOH品名11093862LTO/POP桌面展示架11069708夹子"
g5jxkWobPopGZizL,ly5XdtUiOz8wa7xc,煮制器具菜单板更新,"{'name': '1152-318-8', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=RyhboS389zKXKsjL'}",手冲核心菜单板画面在本季更新，有虹吸和无虹吸门店画面一致煮制器具菜单分为有虹吸煮制、无虹吸煮制2个版本核心菜单板（手冲&BrewBar门店）
V0oOMKgFM8xYfyj3,ly5XdtUiOz8wa7xc,Reserve Bar 咖啡豆罐贴及吧台陈列指引（仅供参考）,"{'name': '1152-318-3', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=1MpdaxdSHDA6xEea'}",为配合节日档期咖啡豆上市，本档期新增3款豆罐贴建议：•建议臻选门店吧台上保留4个咖啡豆储存罐使用•咖啡豆罐陈列顺序从左到右（顾客视角）：当季节咖啡豆→上季咖啡豆•例：圣诞综合2022典藏版咖啡豆→苏门答腊多巴湖咖啡豆→哥斯达黎加阿尔萨西亚庄园2022典藏版咖啡豆→哥伦比亚皮塔利托咖啡豆
t9HkJ7qfYbVNLwxP,aglOZaREQrwSukAz,LTO手冲咖啡罐罐贴和咖啡信息卡,"{'name': '1152_318-3', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=obxLggVC38fnWSIq'}",-建议手冲门店保存3个手冲吧台咖啡豆储存罐使用。  1个豆罐用于LTO咖啡豆，2个豆罐用于核心咖啡豆，请主推LTO咖啡豆。-门店尽量选择单一产区咖啡豆作为手冲咖啡冲煮搭配选择：哥伦比亚、危地马拉、苏门答腊等陈列时间：11/3-1/2
5txz7nlN45AivZb0,aglOZaREQrwSukAz,手冲门店&Brew Bar吧台陈列效果图（仅供参考）,"{'name': '1152_318-5', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=9SrQoKXHWPiKQtgM'}",-咖啡豆储存罐（SKU 11100570)-咖啡信息卡陈列架（SKU 11053575）-季节性特供咖啡豆陈列架-ORIGAMI展示架（建议陈列）手冲门店可以将ORIGAMI陈列背板放置在手冲吧台ORIGAMI背板如若破损，请联系POP供应商补货陈列时间：11/3-1/2
5I2dtLggkLW6bbOw,aglOZaREQrwSukAz,季节性特供咖啡豆陈列展示架效果图,"{'name': '1152_318-1', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=7a8uZykQw4X8Evl7'}","手冲插页分常规版本和LTO版本，请一起陈列，若只有一个架子，请申请陈列架，陈列架在NGBOH 开放订货每季画面随大货物料主配,补货流程与其他POP相同NGBOH品名11093862LTO/POP桌面展示架11069708夹子陈列时间：11/3-1/2"
r6m8WUTNH8PAOCtL,aglOZaREQrwSukAz,煮制器具菜单板更新,"{'name': '1152_318-4', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=f8MB65h7hVKwwaAM'}",手冲核心菜单板画面在本季更新，有虹吸和无虹吸门店画面一致煮制器具菜单分为虹吸煮制、无虹吸煮制2个版本核心菜单板（手冲&BrewBar门店）陈列时间：11/3-1/2
zUdIAHa1iTAKAtdF,aglOZaREQrwSukAz,Reserve Bar 咖啡豆罐贴及吧台陈列指引（仅供参考）,"{'name': '1152_318-2', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=e0HgoTFq1pAhRbOX'}",星巴克臻选假日综合咖啡豆2023 11/3上市肯尼亚蒂里克瓦加库尤尼咖啡豆 11/3上市建议：•建议臻选门店吧台上保留4个咖啡豆储存罐使用•咖啡豆罐陈列顺序从左到右（顾客视角）：当季节咖啡豆→上季咖啡豆。例：星巴克臻选假日综合咖啡豆2023→肯尼亚蒂里克瓦加库尤尼咖啡豆→苏门答腊瓦哈纳庄园拉苏纳品种咖啡豆→坦桑尼亚尼亚萨湖咖啡豆•台卡--咖啡产区之旅
